unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,lat2,lon2
13780722,JJ187960,2025-03-19,021Xx W Washington Blvd,1320,Criminal Damage,To Vehicle,Street,False,False,1223,12,27,28,14,1162210.0,1900667.0,2025,2025-03-27,41.883093993,-87.679814278,41.883093993,-87.679814278
13780478,JJ187348,2025-03-19,093Xx S Ewing Ave,0910,Motor Vehicle Theft,Automobile,Parking Lot / Garage (Non Residential),True,False,432,4,10,52,07,1200680.0,1844091.0,2025,2025-03-27,41.726956527,-87.540469992,41.726956527,-87.540469992
13781121,JJ188265,2025-03-19,063Xx S New England Ave,0560,Assault,Simple,School - Private Building,False,False,812,8,13,64,08A,1131510.0,1861532.0,2025,2025-03-27,41.776287195,-87.793451073,41.776287195,-87.793451073
13781634,JJ188383,2025-03-19,043Xx S Drexel Blvd,0820,Theft,$500 And Under,Apartment,False,False,221,2,4,39,06,1182923.0,1876388.0,2025,2025-03-27,41.816012995,-87.604512613,41.816012995,-87.604512613
13781574,JJ189129,2025-03-19,021Xx N Mozart St,1320,Criminal Damage,To Vehicle,Street,False,False,1414,14,1,22,14,1156975.0,1914091.0,2025,2025-03-27,41.920038401,-87.698672834,41.920038401,-87.698672834
13789995,JJ199018,2025-03-19,041Xx W Madison St,0910,Motor Vehicle Theft,Automobile,Vacant Lot / Land,False,False,1115,11,28,26,07,1148854.0,1899692.0,2025,2025-04-01,41.880687108,-87.728883733,41.880687108,-87.728883733
13781252,JJ188558,2025-03-19,049Xx N Spaulding Ave,1310,Criminal Damage,To Property,Residence,False,False,1713,17,33,14,14,1153488.0,1932621.0,2025,2025-03-27,41.970956162,-87.710990399,41.970956162,-87.710990399
13791593,JJ201051,2025-03-19,092Xx S Ada St,0610,Burglary,Forcible Entry,Apartment,False,False,2222,22,21,73,05,1168951.0,1843531.0,2025,2025-04-02,41.726163002,-87.656712729,41.726163002,-87.656712729
13780225,JJ187380,2025-03-19,014Xx N Kolin Ave,0820,Theft,$500 And Under,Residence,False,False,2534,25,36,23,06,1147115.0,1909146.0,2025,2025-03-27,41.906663351,-87.735027183,41.906663351,-87.735027183
13780267,JJ187413,2025-03-19,012Xx S Sawyer Ave,4650,Other Offense,Sex Offender - Fail To Register,Sidewalk,True,False,1022,10,24,29,26,1154888.0,1894359.0,2025,2025-03-27,41.865934043,-87.706870194,41.865934043,-87.706870194
13780481,JJ187462,2025-03-19,056Xx N Broadway,2031,Narcotics,Possess - Methamphetamine,Commercial / Business Office,True,False,2022,20,48,77,18,1167290.0,1937653.0,2025,2025-03-27,41.984477778,-87.66009381,41.984477778,-87.66009381
13781172,JJ187384,2025-03-19,049Xx W North Ave,0880,Theft,Purse-Snatching,Parking Lot / Garage (Non Residential),False,False,2533,25,37,25,06,1142988.0,1910178.0,2025,2025-03-27,41.909573262,-87.750161722,41.909573262,-87.750161722
13788950,JJ197945,2025-03-19,061Xx S Rockwell St,1220,Deceptive Practice,Theft Of Lost / Mislaid Property,Apartment,False,False,825,8,16,66,11,1160092.0,1863874.0,2025,2025-03-30,41.782173795,-87.688605705,41.782173795,-87.688605705
13780425,JJ187579,2025-03-19,046Xx S Lake Park Ave,4387,Other Offense,Violate Order Of Protection,Apartment,True,True,222,2,4,39,26,1185875.0,1874508.0,2025,2025-03-27,41.81078493,-87.593743583,41.81078493,-87.593743583
13781620,JJ188595,2025-03-19,048Xx S Drexel Blvd,1153,Deceptive Practice,Financial Identity Theft Over $ 300,Nan,False,False,223,2,4,39,11,1183004.0,1873073.0,2025,2025-03-27,41.806914497,-87.604318647,41.806914497,-87.604318647
13780496,JJ187732,2025-03-19,039Xx W Montrose Ave,0810,Theft,Over $500,Restaurant,False,False,1723,17,33,14,06,1149180.0,1928947.0,2025,2025-03-27,41.960959227,-87.726927058,41.960959227,-87.726927058
